Unnamed: 0,primaryLanguage,description,hasWikiEnabled,stargazerCount,pull_request_files,issue_files,nameWithOwner,owner,issue_files_to_str,pull_request_files_to_str,Summary,repo_name,pr_file,Additional context,Steps to reproduce,Related issues,Screenshot,Expected/Actual behavior,Type,Environment,Log,Severity,Documentation and Testing,repo_name.1,pr_file.1,Supporting Information,Collaboration and Review,Submission Guidelines and Formatting,Issue/Problem Description,Debugging Information,Greeting and Introduction,Proposed Solutions and Suggestions,References,Impact Assessment
24629,C,🎥 Command line video player,True,22259,['PULL_REQUEST_TEMPLATE'],"['1_dont_ignore.md', '2_bug_report_linux.md', '2_bug_report_macos.md', '2_bug_report_windows.md', '3_bug_report.md', '4_bug_report_build.md', '5_feature_request.md', '6_question.md']",mpv-player/mpv,mpv-player,,,0.0389824584126472,mpv-player/mpv,PULL_REQUEST_TEMPLATE,0.348640114068985,0.2412917464971542,0.0230083875358104,0.0203454289585351,0.2400930225849151,0.0375567786395549,0.0156213976442813,0.0183279663324356,0.0161326825618743,0.0398966744542121,mpv-player/mpv,PULL_REQUEST_TEMPLATE,0.1937789618968963,0.3523427546024322,0.0944175124168396,0.0427311100065708,0.0338604636490345,0.054842185229063,0.0853950306773185,0.0468833670020103,0.0558519661426544
25712,C,stb single-file public domain libraries for C/C++,False,21955,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",nothings/stb,nothings,,,0.0808989480137825,nothings/stb,PULL_REQUEST_TEMPLATE.md,0.2370215505361557,0.1229032501578331,0.2016853243112564,0.0685249418020248,0.0531081035733222,0.0720753595232963,0.0458783991634845,0.0634333938360214,0.0544707998633384,0.0393632426857948,nothings/stb,PULL_REQUEST_TEMPLATE.md,0.2629978656768799,0.1063706278800964,0.0794035196304321,0.1000101119279861,0.0675346255302429,0.0710207819938659,0.1236210539937019,0.0858486741781234,0.0638294070959091
29005,C,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type. It's boosted by a professional yet affordable drag and drop UI editor, called SquareLine Studio.",False,11913,['pull_request_template.md'],"['bug-report.md', 'dev-discussion.md']",lvgl/lvgl,lvgl,,,0.1184862405061721,lvgl/lvgl,pull_request_template.md,0.162623181939125,0.084431305527687,0.1404681205749511,0.0613371171057224,0.1200288981199264,0.087100975215435,0.0450001470744609,0.0407267101109027,0.1397973597049713,0.0986095294356346,lvgl/lvgl,pull_request_template.md,0.2177473604679107,0.0765387862920761,0.1002807989716529,0.0904600620269775,0.0762949958443641,0.0558651685714721,0.0639854818582534,0.1137793436646461,0.1064384058117866
