Unnamed: 0,primaryLanguage,description,hasWikiEnabled,stargazerCount,pull_request_files,issue_files,nameWithOwner,owner,issue_files_to_str,pull_request_files_to_str,Summary,repo_name,pr_file,Additional context,Steps to reproduce,Related issues,Screenshot,Expected/Actual behavior,Type,Environment,Log,Severity,Documentation and Testing,repo_name.1,pr_file.1,Supporting Information,Collaboration and Review,Submission Guidelines and Formatting,Issue/Problem Description,Debugging Information,Greeting and Introduction,Proposed Solutions and Suggestions,References,Impact Assessment
0,JavaScript,The library for web and native user interfaces,True,206947,['PULL_REQUEST_TEMPLATE.md'],['bug_report.md'],facebook/react,facebook,,,0.2547990381717682,facebook/react,PULL_REQUEST_TEMPLATE.md,0.2023509740829467,0.1929849982261657,0.0974247083067894,0.0579403080046176,0.0533912032842636,0.0491735264658927,0.036559697240591,0.0279378946870565,0.0274376440793275,0.2433546632528305,facebook/react,PULL_REQUEST_TEMPLATE.md,0.1720112115144729,0.1408485025167465,0.1149619594216346,0.0875118002295494,0.076050266623497,0.0540089830756187,0.042472269386053,0.0347985252737998,0.0339818410575389
42,JavaScript,"24 Lessons, 12 Weeks, Get Started as a Web Developer",True,69309,"['translation_checklist.md', 'translation_checklist.pt.md']","['bug_report.md', 'feature_request.md', 'translations_checklist.md']",microsoft/Web-Dev-For-Beginners,microsoft,,,0.0702568888664245,microsoft/Web-Dev-For-Beginners,translation_checklist.md,0.151943489909172,0.1679935753345489,0.1075096502900123,0.0690046101808548,0.0924308374524116,0.1185817942023277,0.0817543417215347,0.0628000125288963,0.0777247175574302,0.0699259713292121,microsoft/Web-Dev-For-Beginners,translation_checklist.md,0.1678188890218734,0.1179633438587188,0.0975621417164802,0.104003831744194,0.075520172715187,0.0572016276419162,0.1092694327235221,0.1054159253835678,0.0953186303377151
43,JavaScript,"24 Lessons, 12 Weeks, Get Started as a Web Developer",True,69309,"['translation_checklist.md', 'translation_checklist.pt.md']","['bug_report.md', 'feature_request.md', 'translations_checklist.md']",microsoft/Web-Dev-For-Beginners,microsoft,,,0.0631722509860992,microsoft/Web-Dev-For-Beginners,translation_checklist.pt.md,0.1687108129262924,0.1874437779188156,0.1110623851418495,0.0660782754421234,0.0908404365181922,0.1142958551645279,0.0768742933869361,0.057971816509962,0.0635501146316528,0.0718679651618003,microsoft/Web-Dev-For-Beginners,translation_checklist.pt.md,0.1669688522815704,0.1184207797050476,0.1008716896176338,0.0939827635884285,0.0722239315509796,0.0574131272733211,0.1121887490153312,0.1114332601428031,0.0946288183331489
5844,JavaScript,Cheatsheets for experienced React developers getting started with TypeScript,False,40765,['pull_request_template.md'],"['advanced-cheatsheet.md', 'basic-cheatsheet.md', 'general-react-ts-question.md', 'hoc-cheatsheet.md', 'migrating-cheatsheet.md']",typescript-cheatsheets/react,typescript-cheatsheets,,,0.0747891962528228,typescript-cheatsheets/react,pull_request_template.md,0.3303740620613098,0.0965606346726417,0.2779035866260528,0.0320190452039241,0.0546534545719623,0.0406080782413482,0.0169540774077177,0.029533252120018,0.0466046147048473,0.0346824303269386,typescript-cheatsheets/react,pull_request_template.md,0.2270154505968094,0.1956636011600494,0.0322882272303104,0.1144784316420555,0.0373459011316299,0.088736854493618,0.1243079453706741,0.0908499285578727,0.0546312183141708
13543,JavaScript,🤪 A list of funny and tricky JavaScript examples,False,30855,"['new_example.md', 'translation.md']",['new-example.md'],denysdovhan/wtfjs,denysdovhan,,,0.0548289082944393,denysdovhan/wtfjs,new_example.md,0.4021409153938293,0.0841311365365982,0.1558647900819778,0.0366620905697345,0.0561121255159378,0.071569874882698,0.0373990833759307,0.0564389005303382,0.0448522791266441,0.0544513501226902,denysdovhan/wtfjs,new_example.md,0.3745418787002563,0.0632916167378425,0.0537803545594215,0.0921213254332542,0.0599730499088764,0.0445020198822021,0.0947903394699096,0.0895144641399383,0.0730336308479309
13544,JavaScript,🤪 A list of funny and tricky JavaScript examples,False,30855,"['new_example.md', 'translation.md']",['new-example.md'],denysdovhan/wtfjs,denysdovhan,,,0.0389877706766128,denysdovhan/wtfjs,translation.md,0.1052914261817932,0.1019423529505729,0.4770470261573791,0.0278772432357072,0.0737001523375511,0.0682789459824562,0.0272224321961402,0.0373916625976562,0.0422610230743885,0.0634655877947807,denysdovhan/wtfjs,translation.md,0.1673173457384109,0.1238786056637764,0.0548881515860557,0.1298872679471969,0.0538304559886455,0.0695606023073196,0.1275499910116195,0.13192979991436,0.077692225575447
14558,JavaScript,A markdown parser and compiler. Built for speed.,False,29642,"['PULL_REQUEST_TEMPLATE.md', 'badges.md']","['Bug_report.md', 'Feature_request.md', 'Proposal.md']",markedjs/marked,markedjs,,,0.0726236030459404,markedjs/marked,badges.md,0.3703230023384094,0.0906176343560218,0.139115884900093,0.0501963011920452,0.0824231430888176,0.0795739144086837,0.0279372222721576,0.0447457991540432,0.0424434915184974,0.0532922334969043,markedjs/marked,badges.md,0.2503808438777923,0.0974252447485923,0.0839071571826934,0.0974123775959014,0.0612828806042671,0.0890434682369232,0.0932602360844612,0.1064729541540145,0.0675226375460624
20416,JavaScript,A list of semi to fully remote-friendly companies (jobs) in tech.,True,24427,['PULL_REQUEST_TEMPLATE.MD'],"['bug_report.md', 'feature-request--add-a-discussion-.md']",remoteintech/remote-jobs,remoteintech,,,0.0533618219196796,remoteintech/remote-jobs,PULL_REQUEST_TEMPLATE.MD,0.2517167925834656,0.148837000131607,0.1005184948444366,0.0460478886961936,0.1540399193763733,0.1395335644483566,0.0074991346336901,0.0855812206864357,0.0128641594201326,0.0312424842268228,remoteintech/remote-jobs,PULL_REQUEST_TEMPLATE.MD,0.2719579041004181,0.1350634098052978,0.2018430531024933,0.0465850681066513,0.0298746488988399,0.0963429808616638,0.0884825438261032,0.0700582861900329,0.0285495724529027
