Unnamed: 0,primaryLanguage,nameWithOwner,owner,Related issues,repo_name,issue_file,Additional context,Steps to reproduce,Expected/Actual behavior,Type,Screenshot,Log,Summary,Severity,Environment,Documentation and Testing,repo_name.1,issue_file.1,Supporting Information,Issue/Problem Description,Proposed Solutions and Suggestions,References,Impact Assessment,Submission Guidelines and Formatting,Collaboration and Review,Debugging Information,Greeting and Introduction
36,Dart,flutter/flutter,flutter,0.1262718290090561,flutter/flutter,4_performance_others.md,0.1386781930923462,0.3107062578201294,0.0385059714317321,0.0729544907808303,0.0540450774133205,0.0766756907105445,0.0841638222336769,0.0483019761741161,0.0496965870261192,0.1392824947834015,flutter/flutter,4_performance_others.md,0.1313029080629348,0.1248781830072403,0.1086183860898017,0.0955053493380546,0.0672644600272178,0.0710121989250183,0.0617532320320606,0.1267608702182769,0.0736218690872192
37,Dart,flutter/flutter,flutter,0.1918700635433197,flutter/flutter,5_performance_speed.md,0.146816149353981,0.2591911554336548,0.036484058946371,0.058943323791027,0.0578781552612781,0.0844335407018661,0.0901735946536064,0.0432888232171535,0.0309211947023868,0.1624854654073715,flutter/flutter,5_performance_speed.md,0.1917886137962341,0.1023401394486427,0.1129458919167518,0.1189406439661979,0.0415941663086414,0.0461010597646236,0.0466549396514892,0.1193378865718841,0.0578112453222274
38,Dart,flutter/flutter,flutter,0.0197156202048063,flutter/flutter,6_infrastructure.md,0.0881596505641937,0.4804207682609558,0.3032249808311462,0.0235303323715925,0.0127991195768117,0.0228445120155811,0.0275122132152318,0.0119655737653374,0.0098271807655692,0.0829107016324997,flutter/flutter,6_infrastructure.md,0.2732077240943908,0.2118422836065292,0.1050662398338317,0.0485413037240505,0.0418909788131713,0.0742273554205894,0.0585661716759204,0.0505719631910324,0.0531752593815326
