Unnamed: 0,primaryLanguage,nameWithOwner,owner,Related issues,repo_name,issue_file,Additional context,Steps to reproduce,Expected/Actual behavior,Type,Screenshot,Log,Summary,Severity,Environment,Documentation and Testing,repo_name.1,issue_file.1,Supporting Information,Issue/Problem Description,Proposed Solutions and Suggestions,References,Impact Assessment,Submission Guidelines and Formatting,Collaboration and Review,Debugging Information,Greeting and Introduction
5194674,HTML,foundation/foundation-sites,foundation,0.258741557598114,foundation/foundation-sites,1-bug-report.md,0.2156000137329101,0.1511711031198501,0.0235937498509883,0.0669058263301849,0.0211953595280647,0.059534166008234,0.0273443646728992,0.0135309733450412,0.1623828709125518,0.0625013932585716,foundation/foundation-sites,1-bug-report.md,0.119289755821228,0.1302244812250137,0.4104810655117035,0.0692485719919204,0.0247506238520145,0.05556321144104,0.0305597223341465,0.0738161727786064,0.0235650148242712
5194675,HTML,foundation/foundation-sites,foundation,0.2864666581153869,foundation/foundation-sites,2-feature-request.md,0.1220121830701828,0.0644508972764015,0.041186187416315,0.0873877331614494,0.0305600799620151,0.1066512465476989,0.0480753593146801,0.0355273894965648,0.1776822656393051,0.0538114681839942,foundation/foundation-sites,2-feature-request.md,0.1700982600450515,0.1849540472030639,0.2609441578388214,0.0642625764012336,0.0433934591710567,0.0653198361396789,0.0426682382822036,0.0866586491465568,0.0278893224895
5194676,HTML,foundation/foundation-sites,foundation,0.3596337735652923,foundation/foundation-sites,3-documentation.md,0.1713230460882187,0.0905975997447967,0.06074745580554,0.0803818777203559,0.0519505925476551,0.0436334237456321,0.0792397633194923,0.0332605242729187,0.0292319934815168,0.0282220467925071,foundation/foundation-sites,3-documentation.md,0.0618866458535194,0.092493712902069,0.644301176071167,0.030851325020194,0.0204186048358678,0.0406922288239002,0.0370529629290103,0.023218560963869,0.0208627544343471
5194677,HTML,foundation/foundation-sites,foundation,0.24312624335289,foundation/foundation-sites,4-maintainance.md,0.1662542074918747,0.1221677511930465,0.0750984549522399,0.1175321117043495,0.060680866241455,0.0616672225296497,0.0729440823197364,0.0431798920035362,0.0373491831123828,0.0248805005103349,foundation/foundation-sites,4-maintainance.md,0.0614784024655818,0.0966346114873886,0.6606901288032532,0.0271451883018016,0.0195460747927427,0.037538606673479,0.0271895732730627,0.0252135582268238,0.0196833424270153
