Unnamed: 0,primaryLanguage,nameWithOwner,owner,Related issues,repo_name,issue_file,Additional context,Steps to reproduce,Expected/Actual behavior,Type,Screenshot,Log,Summary,Severity,Environment,Documentation and Testing,repo_name.1,issue_file.1,Supporting Information,Issue/Problem Description,Proposed Solutions and Suggestions,References,Impact Assessment,Submission Guidelines and Formatting,Collaboration and Review,Debugging Information,Greeting and Introduction
1251737,Ruby,jekyll/jekyll,jekyll,0.2132423371076584,jekyll/jekyll,documentation.md,0.1909435242414474,0.0901027247309684,0.0653830170631408,0.1062147840857505,0.0638386905193328,0.0702582821249961,0.0929635316133499,0.0800366550683975,0.0270164795219898,0.0403619855642318,jekyll/jekyll,documentation.md,0.1554223448038101,0.1512692272663116,0.385813295841217,0.0499296151101589,0.0224827080965042,0.0194036699831485,0.107331708073616,0.023003663867712,0.0449817813932895
1251738,Ruby,jekyll/jekyll,jekyll,0.3996803760528564,jekyll/jekyll,feature_request.md,0.1486597955226898,0.0907163247466087,0.0403856933116912,0.0508795417845249,0.0377511121332645,0.0444037243723869,0.1203333735466003,0.0378843583166599,0.029305750504136,0.0801487788558006,jekyll/jekyll,feature_request.md,0.1220516189932823,0.1176646202802658,0.1128102391958236,0.1814349740743637,0.0849790722131729,0.0628893598914146,0.0791891887784004,0.0709108635783195,0.0879212990403175
2897711,Ruby,fastlane/fastlane,fastlane,0.12350594997406,fastlane/fastlane,BUG_REPORT.md,0.1886636614799499,0.1109432950615882,0.2939428985118866,0.059165570884943,0.0277798101305961,0.035650935024023,0.0326488725841045,0.0310794003307819,0.0966195613145828,0.0791282877326011,fastlane/fastlane,BUG_REPORT.md,0.2093952149152755,0.1598614454269409,0.1019836366176605,0.059010662138462,0.0585269182920455,0.1419857293367386,0.0719459354877471,0.0623318217694759,0.0558303631842136
2897712,Ruby,fastlane/fastlane,fastlane,0.1103512644767761,fastlane/fastlane,REGRESSION.md,0.1927844136953354,0.1684432923793792,0.132935032248497,0.0509188994765281,0.0397426225244998,0.0430106632411479,0.081013835966587,0.0576712191104888,0.1231287121772766,0.0781851112842559,fastlane/fastlane,REGRESSION.md,0.2515941858291626,0.0813576802611351,0.1071888580918312,0.0675614550709724,0.0514705888926982,0.1479029208421707,0.0784272402524948,0.0754376277327537,0.0608743801712989
4594893,Ruby,freeCodeCamp/devdocs,freeCodeCamp,0.0578653179109096,freeCodeCamp/devdocs,bug_report.md,0.1600317955017089,0.6509591937065125,0.0231397729367017,0.0254200231283903,0.0239668004214763,0.014520133845508,0.0248489901423454,0.0091479010879993,0.0101001700386404,0.0402277559041976,freeCodeCamp/devdocs,bug_report.md,0.5259119868278503,0.1577201783657074,0.05590745434165,0.0396137721836566,0.032740294933319,0.0166823603212833,0.0766148194670677,0.0333271063864231,0.0212542489171028
4594894,Ruby,freeCodeCamp/devdocs,freeCodeCamp,0.0817157104611396,freeCodeCamp/devdocs,documentation_bug.md,0.1452205628156662,0.0595492497086524,0.2536836862564087,0.0777603983879089,0.0225823651999235,0.0357158668339252,0.2916666567325592,0.0214926283806562,0.0106128687039017,0.0945944860577583,freeCodeCamp/devdocs,documentation_bug.md,0.3007070124149322,0.1763409674167633,0.1669092029333114,0.0415025278925895,0.0573518835008144,0.0398347489535808,0.053267914801836,0.034821480512619,0.0346697717905044
4880505,Ruby,rapid7/metasploit-framework,rapid7,0.0723749101161956,rapid7/metasploit-framework,feature_suggestion.md,0.2841240465641022,0.0475908108055591,0.0405320264399051,0.0973020792007446,0.0256042852997779,0.0618594549596309,0.3219895362854004,0.0235386285930871,0.0250841844826936,0.0574233382940292,rapid7/metasploit-framework,feature_suggestion.md,0.2724627256393432,0.085406519472599,0.1308837980031967,0.160157099366188,0.0480371415615081,0.0613397322595119,0.046094860881567,0.05286580696702,0.085328996181488
4880506,Ruby,rapid7/metasploit-framework,rapid7,0.0877374559640884,rapid7/metasploit-framework,module_suggestion.md,0.3267245590686798,0.0452001579105854,0.0505564361810684,0.0623195581138134,0.024215143173933,0.042742732912302,0.3221473097801208,0.0234845671802759,0.0148720666766166,0.0425622016191482,rapid7/metasploit-framework,module_suggestion.md,0.3854922950267792,0.0680319741368293,0.0665030404925346,0.2245668023824691,0.0387090034782886,0.0297908000648021,0.0326560959219932,0.0460057817399501,0.0656820461153984
4880507,Ruby,rapid7/metasploit-framework,rapid7,0.0823915228247642,rapid7/metasploit-framework,question.md,0.120309941470623,0.0775292068719863,0.0440245047211647,0.1607226282358169,0.0450201146304607,0.0453472062945365,0.3533962666988373,0.0502630956470966,0.0209955722093582,0.0596045367419719,rapid7/metasploit-framework,question.md,0.2793989181518554,0.1224772110581398,0.0812864899635315,0.1507321000099182,0.0560789294540882,0.0672541260719299,0.0889476984739303,0.0432583130896091,0.0509616658091545
11300853,Ruby,forem/forem,forem,0.2702372968196869,forem/forem,-core-team-only---new-approved-feature.md,0.1982857435941696,0.1615489274263382,0.0667093470692634,0.0757905468344688,0.0432722829282283,0.0460614934563636,0.0870978087186813,0.0282490719109773,0.0227474961429834,0.025737889111042,forem/forem,-core-team-only---new-approved-feature.md,0.2811712920665741,0.3027074933052063,0.1629965603351593,0.0816454589366912,0.0185233335942029,0.0416108779609203,0.023413710296154,0.0194437392055988,0.0427496582269668
11472301,Ruby,github-linguist/linguist,github-linguist,0.1388458758592605,github-linguist/linguist,new_language.md,0.2173582017421722,0.2371376901865005,0.0785867050290107,0.0635750666260719,0.0694215297698974,0.0642051622271537,0.066675379872322,0.0321714729070663,0.0320229195058345,0.0538862347602844,github-linguist/linguist,new_language.md,0.3082557022571563,0.1136375963687896,0.1253319829702377,0.0951144024729728,0.0570857748389244,0.0583343580365181,0.0683176517486572,0.0546536333858966,0.0653826594352722
11472302,Ruby,faker-ruby/faker,faker-ruby,0.0588501095771789,faker-ruby/faker,bug-report.md,0.3455629646778106,0.1868739426136016,0.1344876140356063,0.091543361544609,0.0296527259051799,0.059265874326229,0.0390432775020599,0.0281137414276599,0.0266063623130321,0.0707851350307464,faker-ruby/faker,bug-report.md,0.3837979137897491,0.181043654680252,0.0872161388397216,0.0670785084366798,0.0438843518495559,0.0290042646229267,0.0471231378614902,0.056781280785799,0.0332856476306915
11472303,Ruby,faker-ruby/faker,faker-ruby,0.5291010141372681,faker-ruby/faker,feature-request.md,0.1614028364419937,0.0521499887108802,0.0413745529949665,0.0610050670802593,0.0394433327019214,0.0227607190608978,0.049610961228609,0.0227749422192573,0.0203766617923975,0.0504400245845317,faker-ruby/faker,feature-request.md,0.1754635274410247,0.227379024028778,0.1788821816444397,0.1227758005261421,0.0418733656406402,0.052806656807661,0.0540696829557418,0.0350592583417892,0.0612505301833152
11472305,Ruby,freeCodeCamp/how-to-contribute-to-open-source,freeCodeCamp,0.0209646448493003,freeCodeCamp/how-to-contribute-to-open-source,suggest-new-link.md,0.3562632203102112,0.2817654013633728,0.0531767420470714,0.0707827508449554,0.0484609864652156,0.0356742851436138,0.0253544095903635,0.0756020173430442,0.0319555327296257,0.039954487234354,freeCodeCamp/how-to-contribute-to-open-source,suggest-new-link.md,0.3194326162338257,0.0519230552017688,0.2871916890144348,0.0524318665266037,0.0528106391429901,0.0577564761042594,0.0620896853506565,0.034913569688797,0.0414958596229553
11472308,Ruby,wpscanteam/wpscan,wpscanteam,0.2033161967992782,wpscanteam/wpscan,other-issue.md,0.3341358304023742,0.065117672085762,0.0459376275539398,0.0629433616995811,0.0401625856757164,0.0311051290482282,0.0924228802323341,0.0394558906555175,0.0854028016328811,0.051887396723032,wpscanteam/wpscan,other-issue.md,0.2528902590274811,0.1264770627021789,0.1000079289078712,0.0667005628347396,0.0783353894948959,0.036385603249073,0.115956075489521,0.1142233237624168,0.0571363158524036
11472311,Ruby,chef/chef,chef,0.1466845124959945,chef/chef,BUG_TEMPLATE.md,0.2141232937574386,0.3048550486564636,0.0775983855128288,0.0859322696924209,0.0332154966890811,0.0436444468796253,0.0319329835474491,0.0327285639941692,0.0292850323021411,0.033744316548109,chef/chef,BUG_TEMPLATE.md,0.3258305490016937,0.1851465106010437,0.0731050670146942,0.083128772675991,0.0352381467819213,0.0305832624435424,0.0311213862150907,0.1843110769987106,0.0177908744663
11472312,Ruby,chef/chef,chef,0.2187980264425277,chef/chef,DESIGN_PROPOSAL.md,0.2196086198091507,0.1154484674334526,0.0556755140423774,0.0910694301128387,0.0520657077431678,0.0761607661843299,0.0929240807890892,0.0411666817963123,0.0370826981961727,0.0651264116168022,chef/chef,DESIGN_PROPOSAL.md,0.2427647113800048,0.0915305241942405,0.1360737532377243,0.0945142060518264,0.0748722404241561,0.0756795108318328,0.0852587148547172,0.06999122351408,0.0641886964440345
11472313,Ruby,chef/chef,chef,0.2632627189159393,chef/chef,ENHANCEMENT_REQUEST_TEMPLATE.md,0.1948172003030777,0.1492446213960647,0.0597597137093544,0.0991401374340057,0.0317909941077232,0.0470437034964561,0.0821603536605835,0.0474227145314216,0.0253578852862119,0.0366465896368026,chef/chef,ENHANCEMENT_REQUEST_TEMPLATE.md,0.3715616762638092,0.2554054260253906,0.1231987178325653,0.055943563580513,0.0264731552451849,0.0212549678981304,0.0376582965254783,0.032986469566822,0.0388710610568523
11472314,Ruby,chef/chef,chef,0.3511060774326324,chef/chef,RESOURCE_REQUEST.md,0.1886016279458999,0.1160362064838409,0.0965614318847656,0.0774558037519455,0.0175977647304534,0.0258929952979087,0.0799149721860885,0.0280439723283052,0.0187890641391277,0.0423715934157371,chef/chef,RESOURCE_REQUEST.md,0.1559610515832901,0.1574777662754058,0.3019043505191803,0.0916732251644134,0.0419729501008987,0.0526755154132843,0.044658999890089,0.0457686334848403,0.0655359029769897
11472315,Ruby,chef/chef,chef,0.0659920051693916,chef/chef,SUPPORT_QUESTION.md,0.279279887676239,0.1141746789216995,0.1135881245136261,0.0788774192333221,0.0628712326288223,0.0958650484681129,0.0807761847972869,0.0610907450318336,0.0474846921861171,0.0311093349009752,chef/chef,SUPPORT_QUESTION.md,0.3572486639022827,0.1741175204515457,0.0848651826381683,0.0456467047333717,0.0638744980096817,0.0254606176167726,0.0849858820438385,0.053969282656908,0.0787223279476165
11472317,Ruby,paper-trail-gem/paper_trail,paper-trail-gem,0.4408491849899292,paper-trail-gem/paper_trail,feature-suggestion.md,0.1879282891750335,0.0873320028185844,0.0359818860888481,0.0782969966530799,0.0266253966838121,0.0481871478259563,0.0558619312942028,0.0187458861619234,0.020191304385662,0.0470371358096599,paper-trail-gem/paper_trail,feature-suggestion.md,0.1734422445297241,0.2058617323637008,0.2746453881263733,0.0714283138513565,0.0344352796673774,0.0703052803874015,0.0354337580502033,0.0351299718022346,0.0522808469831943
